Section,Cell,Slot,Beam,Type,Model,Disc,Name,eVout,v/c,Length,Xend,Yend,Zend,Xsur,Ysur,Zsur,Volts,Phase,Grad,Bend
       ,    ,    ,    ,    ,     ,    ,    ,(MeV),   , (m)  , (m), (m), (m), (m), (m), (m), MV  , deg , T/m, deg
DtlSpokeTransSect,DtlSpokeTransCell,DtlSpokeTransSlot,MKR-0010,marker , , , ,89 ,0.407147 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
DtlSpokeTransSect,DtlSpokeTransCell,DtlSpokeTransSlot,DRF-0020,drift ,crappy ,booger ,DtlSpokeTransSect-DtlSpokeTransCellDtlSpokeTransSlot:booger-DRF-0020 ,89 ,0.407147 ,0.211 ,0 ,0 ,0.211 ,0 ,0 ,0.211 ,0 ,0 ,0 ,0
DtlSpokeTransSect,DtlSpokeTransCell,DtlSpokeTransSlot,MKR-0030,marker , , , ,89 ,0.407147 ,0 ,0 ,0 ,0.211 ,0 ,0 ,0.211 ,0 ,0 ,0 ,0
SPK,01,SpokeLwu,DRF-0010,drift , ,VAC ,SPK-01SpokeLwu:VAC-DRF-0010 ,89 ,0.407147 ,0.189 ,0 ,0 ,0.4 ,0 ,0 ,0.4 ,0 ,0 ,0 ,0
SPK,01,SpokeLwu,QH-0020,quad , ,BMD ,SPK-01SpokeLwu:BMD-QH-0020 ,89 ,0.407147 ,0.25 ,0 ,0 ,0.65 ,0 ,0 ,0.65 ,0 ,0 ,6.27303 ,0
SPK,01,SpokeLwu,DRF-0030,drift , ,VAC ,SPK-01SpokeLwu:VAC-DRF-0030 ,89 ,0.407147 ,0.035 ,0 ,0 ,0.685 ,0 ,0 ,0.685 ,0 ,0 ,0 ,0
SPK,01,SpokeLwu,BPM-0040,beamPosition , ,PBI ,SPK-01SpokeLwu:PBI-BPM-0040 ,89 ,0.407147 ,0 ,0 ,0 ,0.685 ,0 ,0 ,0.685 ,0 ,0 ,0 ,0
SPK,01,SpokeLwu,DRF-0050,drift , ,VAC ,SPK-01SpokeLwu:VAC-DRF-0050 ,89 ,0.407147 ,0.07 ,0 ,0 ,0.755 ,0 ,0 ,0.755 ,0 ,0 ,0 ,0
SPK,01,SpokeLwu,COR-0060,thinSteering , ,BMD ,SPK-01SpokeLwu:BMD-COR-0060 ,89 ,0.407147 ,0 ,0 ,0 ,0.755 ,0 ,0 ,0.755 ,0 ,0 ,0 ,0
SPK,01,SpokeLwu,WSC-0070,beamSize , ,PBI ,SPK-01SpokeLwu:PBI-WSC-0070 ,89 ,0.407147 ,0 ,0 ,0 ,0.755 ,0 ,0 ,0.755 ,0 ,0 ,0 ,0
SPK,01,SpokeLwu,DRF-0080,drift , ,VAC ,SPK-01SpokeLwu:VAC-DRF-0080 ,89 ,0.407147 ,0.475 ,0 ,0 ,1.23 ,0 ,0 ,1.23 ,0 ,0 ,0 ,0
SPK,01,SpokeLwu,BPM-0090,beamPosition , ,PBI ,SPK-01SpokeLwu:PBI-BPM-0090 ,89 ,0.407147 ,0 ,0 ,0 ,1.23 ,0 ,0 ,1.23 ,0 ,0 ,0 ,0
SPK,01,SpokeLwu,QV-0100,quad , ,BMD ,SPK-01SpokeLwu:BMD-QV-0100 ,89 ,0.407147 ,0.25 ,0 ,0 ,1.48 ,0 ,0 ,1.48 ,0 ,0 ,-5.65192 ,0
SPK,01,SpokeLwu,DRF-0110,drift , ,VAC ,SPK-01SpokeLwu:VAC-DRF-0110 ,89 ,0.407147 ,0.4 ,0 ,0 ,1.88 ,0 ,0 ,1.88 ,0 ,0 ,0 ,0
SPK,01,SpokeCryomodule,MKR-0010,marker , , , ,89 ,0.407147 ,0 ,0 ,0 ,1.88 ,0 ,0 ,1.88 ,0 ,0 ,0 ,0
SPK,01,SpokeCryomodule,DRF-0020,drift , ,VAC ,SPK-01SpokeCryomodule:VAC-DRF-0020 ,89 ,0.407147 ,0.3715 ,0 ,0 ,2.2515 ,0 ,0 ,2.2515 ,0 ,0 ,0 ,0
SPK,01,SpokeCryomodule,CAV-0030,fieldMap , ,EMR ,SPK-01SpokeCryomodule:EMR-CAV-0030 ,92.649637 ,0.414324 ,0.988 ,0 ,0 ,3.2395 ,0 ,0 ,3.2395 ,4.564346 ,-36.908381 ,0 ,0
SPK,01,SpokeCryomodule,DRF-0040,drift , ,VAC ,SPK-01SpokeCryomodule:VAC-DRF-0040 ,92.649637 ,0.414324 ,0.141 ,0 ,0 ,3.3805 ,0 ,0 ,3.3805 ,0 ,0 ,0 ,0
SPK,01,SpokeCryomodule,CAV-0050,fieldMap , ,EMR ,SPK-01SpokeCryomodule:EMR-CAV-0050 ,96.456561 ,0.421602 ,0.988 ,0 ,0 ,4.3685 ,0 ,0 ,4.3685 ,4.357803 ,-29.121698 ,0 ,0
SPK,01,SpokeCryomodule,DRF-0060,drift , ,VAC ,SPK-01SpokeCryomodule:VAC-DRF-0060 ,96.456561 ,0.421602 ,0.3715 ,0 ,0 ,4.74 ,0 ,0 ,4.74 ,0 ,0 ,0 ,0
SPK,01,SpokeCryomodule,MKR-0070,marker , , , ,96.456561 ,0.421602 ,0 ,0 ,0 ,4.74 ,0 ,0 ,4.74 ,0 ,0 ,0 ,0
SPK,02,SpokeLwu,DRF-0010,drift , ,VAC ,SPK-02SpokeLwu:VAC-DRF-0010 ,96.456561 ,0.421602 ,0.16 ,0 ,0 ,4.9 ,0 ,0 ,4.9 ,0 ,0 ,0 ,0
SPK,02,SpokeLwu,QH-0020,quad , ,BMD ,SPK-02SpokeLwu:BMD-QH-0020 ,96.456561 ,0.421602 ,0.25 ,0 ,0 ,5.15 ,0 ,0 ,5.15 ,0 ,0 ,5.80773 ,0
SPK,02,SpokeLwu,DRF-0030,drift , ,VAC ,SPK-02SpokeLwu:VAC-DRF-0030 ,96.456561 ,0.421602 ,0.035 ,0 ,0 ,5.185 ,0 ,0 ,5.185 ,0 ,0 ,0 ,0
SPK,02,SpokeLwu,BPM-0040,beamPosition , ,PBI ,SPK-02SpokeLwu:PBI-BPM-0040 ,96.456561 ,0.421602 ,0 ,0 ,0 ,5.185 ,0 ,0 ,5.185 ,0 ,0 ,0 ,0
SPK,02,SpokeLwu,DRF-0050,drift , ,VAC ,SPK-02SpokeLwu:VAC-DRF-0050 ,96.456561 ,0.421602 ,0.07 ,0 ,0 ,5.255 ,0 ,0 ,5.255 ,0 ,0 ,0 ,0
SPK,02,SpokeLwu,COR-0060,thinSteering , ,BMD ,SPK-02SpokeLwu:BMD-COR-0060 ,96.456561 ,0.421602 ,0 ,0 ,0 ,5.255 ,0 ,0 ,5.255 ,0 ,0 ,0 ,0
SPK,02,SpokeLwu,WSC-0070,beamSize , ,PBI ,SPK-02SpokeLwu:PBI-WSC-0070 ,96.456561 ,0.421602 ,0 ,0 ,0 ,5.255 ,0 ,0 ,5.255 ,0 ,0 ,0 ,0
SPK,02,SpokeLwu,WSC-0080,beamSize , ,PBI ,SPK-02SpokeLwu:PBI-WSC-0080 ,96.456561 ,0.421602 ,0 ,0 ,0 ,5.255 ,0 ,0 ,5.255 ,0 ,0 ,0 ,0
SPK,02,SpokeLwu,DRF-0090,drift , ,VAC ,SPK-02SpokeLwu:VAC-DRF-0090 ,96.456561 ,0.421602 ,0.475 ,0 ,0 ,5.73 ,0 ,0 ,5.73 ,0 ,0 ,0 ,0
SPK,02,SpokeLwu,QV-0100,quad , ,BMD ,SPK-02SpokeLwu:BMD-QV-0100 ,96.456561 ,0.421602 ,0.25 ,0 ,0 ,5.98 ,0 ,0 ,5.98 ,0 ,0 ,-5.74303 ,0
SPK,02,SpokeLwu,DRF-0110,drift , ,VAC ,SPK-02SpokeLwu:VAC-DRF-0110 ,96.456561 ,0.421602 ,0.16 ,0 ,0 ,6.14 ,0 ,0 ,6.14 ,0 ,0 ,0 ,0
SPK,02,SpokeCryomodule,MKR-0010,marker , , , ,96.456561 ,0.421602 ,0 ,0 ,0 ,6.14 ,0 ,0 ,6.14 ,0 ,0 ,0 ,0
SPK,02,SpokeCryomodule,DRF-0020,drift , ,VAC ,SPK-02SpokeCryomodule:VAC-DRF-0020 ,96.456561 ,0.421602 ,0.3715 ,0 ,0 ,6.5115 ,0 ,0 ,6.5115 ,0 ,0 ,0 ,0
SPK,02,SpokeCryomodule,CAV-0030,fieldMap , ,EMR ,SPK-02SpokeCryomodule:EMR-CAV-0030 ,100.849717 ,0.429752 ,0.988 ,0 ,0 ,7.4995 ,0 ,0 ,7.4995 ,4.660654 ,-19.506279 ,0 ,0
SPK,02,SpokeCryomodule,DRF-0040,drift , ,VAC ,SPK-02SpokeCryomodule:VAC-DRF-0040 ,100.849717 ,0.429752 ,0.141 ,0 ,0 ,7.6405 ,0 ,0 ,7.6405 ,0 ,0 ,0 ,0
SPK,02,SpokeCryomodule,CAV-0050,fieldMap , ,EMR ,SPK-02SpokeCryomodule:EMR-CAV-0050 ,105.382941 ,0.437897 ,0.988 ,0 ,0 ,8.6285 ,0 ,0 ,8.6285 ,4.909624 ,-22.581481 ,0 ,0
SPK,02,SpokeCryomodule,DRF-0060,drift , ,VAC ,SPK-02SpokeCryomodule:VAC-DRF-0060 ,105.382941 ,0.437897 ,0.3715 ,0 ,0 ,9 ,0 ,0 ,9 ,0 ,0 ,0 ,0
SPK,02,SpokeCryomodule,MKR-0070,marker , , , ,105.382941 ,0.437897 ,0 ,0 ,0 ,9 ,0 ,0 ,9 ,0 ,0 ,0 ,0
SPK,03,SpokeLwu,DRF-0010,drift , ,VAC ,SPK-03SpokeLwu:VAC-DRF-0010 ,105.382941 ,0.437897 ,0.16 ,0 ,0 ,9.16 ,0 ,0 ,9.16 ,0 ,0 ,0 ,0
SPK,03,SpokeLwu,QH-0020,quad , ,BMD ,SPK-03SpokeLwu:BMD-QH-0020 ,105.382941 ,0.437897 ,0.25 ,0 ,0 ,9.41 ,0 ,0 ,9.41 ,0 ,0 ,5.23058 ,0
SPK,03,SpokeLwu,DRF-0030,drift , ,VAC ,SPK-03SpokeLwu:VAC-DRF-0030 ,105.382941 ,0.437897 ,0.475 ,0 ,0 ,9.885 ,0 ,0 ,9.885 ,0 ,0 ,0 ,0
SPK,03,SpokeLwu,COR-0040,thinSteering , ,BMD ,SPK-03SpokeLwu:BMD-COR-0040 ,105.382941 ,0.437897 ,0 ,0 ,0 ,9.885 ,0 ,0 ,9.885 ,0 ,0 ,0 ,0
SPK,03,SpokeLwu,DRF-0050,drift , ,VAC ,SPK-03SpokeLwu:VAC-DRF-0050 ,105.382941 ,0.437897 ,0.07 ,0 ,0 ,9.955 ,0 ,0 ,9.955 ,0 ,0 ,0 ,0
SPK,03,SpokeLwu,BPM-0060,beamPosition , ,PBI ,SPK-03SpokeLwu:PBI-BPM-0060 ,105.382941 ,0.437897 ,0 ,0 ,0 ,9.955 ,0 ,0 ,9.955 ,0 ,0 ,0 ,0
SPK,03,SpokeLwu,DRF-0070,drift , ,VAC ,SPK-03SpokeLwu:VAC-DRF-0070 ,105.382941 ,0.437897 ,0.035 ,0 ,0 ,9.99 ,0 ,0 ,9.99 ,0 ,0 ,0 ,0
